account,email,owner,marketplace,session,period,periodOrig,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,trade,fair value,trade price,mispricing,time secs,buy/sell,vol1,vol2,vol3,vol4,vol5,vol6,vol7,vol8
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835238,19835238,19835238,NULL,LIMIT,BUY,1,685,2021-05-26T07:32:07.524,2021-05-26T07:32:07.526,07:32:07.524,07:32:07,0,750,0,#N/A,170.246,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835239,19835239,19835239,19835231,LIMIT,BUY,1,760,2021-05-26T07:32:11.082,2021-05-26T07:32:11.089,07:32:11.082,07:32:11,1,750,760,10,173.804,1,0,0,0,0,0,0,1,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835240,19835240,19835240,19835248,LIMIT,BUY,1,695,2021-05-26T07:32:12.435,2021-05-26T07:32:29.637,07:32:12.435,07:32:12,0,750,0,#N/A,175.157,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835241,19835241,19835241,0,LIMIT,BUY,1,765,2021-05-26T07:32:17.146,2021-05-26T07:32:17.155,07:32:17.146,07:32:17,0,750,0,#N/A,179.868,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835242,19835241,19835241,19835233,LIMIT,BUY,1,760,2021-05-26T07:32:17.152,2021-05-26T07:32:17.155,07:32:17.152,07:32:17,1,750,760,10,179.874,1,0,0,0,0,0,0,1,0
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835243,19835243,19835243,19835259,LIMIT,BUY,1,700,2021-05-26T07:32:22.797,2021-05-26T07:32:50.552,07:32:22.797,07:32:22,0,750,0,#N/A,185.519,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835244,19835244,19835244,0,LIMIT,BUY,1,795,2021-05-26T07:32:24.673,2021-05-26T07:32:24.682,07:32:24.673,07:32:24,0,750,0,#N/A,187.395,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835245,19835244,19835244,19835234,LIMIT,BUY,1,760,2021-05-26T07:32:24.680,2021-05-26T07:32:24.683,07:32:24.680,07:32:24,1,750,760,10,187.402,1,0,0,0,0,0,0,1,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835246,19835246,19835246,19835264,LIMIT,SELL,1,750,2021-05-26T07:32:26.295,2021-05-26T07:33:00.636,07:32:26.295,07:32:26,0,750,0,#N/A,189.017,-1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835247,19835247,19835247,19835262,LIMIT,SELL,1,745,2021-05-26T07:32:27.280,2021-05-26T07:32:59.966,07:32:27.280,07:32:27,0,750,0,#N/A,190.002,-1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835248,19835240,19835248,19835240,CANCEL,BUY,1,695,2021-05-26T07:32:29.631,2021-05-26T07:32:29.636,07:32:29.631,07:32:29,0,750,0,#N/A,192.353,1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835249,19835249,19835249,19835254,LIMIT,BUY,1,415,2021-05-26T07:32:34.189,2021-05-26T07:32:37.398,07:32:34.189,07:32:34,0,750,0,#N/A,196.911,1,0,0,0,0,0,0,0,0
